Degree of freedom     alpha       Tabulated value
1                     0.10           3.078 
1                     0.05           6.314 
1                     0.025          12.706 
1                     0.01           31.821 
1                     0.005          63.657
2                     0.10           1.886 
2                     0.05              2.920
2                     0.025                4.303
2                     0.01               6.965
2                     0.005               9.925
3                     0.10            1.638
3                     0.05               2.353 
3                     0.025               3.182 
3                     0.01               4.541 
3                     0.005               5.841
4                     0.10            1.533 
4                     0.05                2.132 
4                     0.025                2.776 
4                     0.01                3.474 
4                     0.005                4.604
5                     0.10            1.476 
5                     0.05                2.015 
5                     0.025                2.571
5                     0.01                3.365
5                     0.005               4.032
6                     0.10            1.440 
6                     0.05                1.943
6                     0.025                2.447
6                     0.01                3.143
6                     0.005                3.707
7                     0.10             1.415 
7                     0.05                 1.895 
7                     0.025                 2.365 
7                     0.01                 2.998
7                     0.005                 3.499
8                     0.10             1.397 
8                     0.05                 1.860
8                     0.025                 2.306
8                     0.01                 2.896
8                     0.005                 3.355
9                     0.10             1.383
9                     0.05                 1.833
9                     0.025                 2.262
9                     0.01                 2.821
9                     0.005                 3.250
10                    0.10             1.372 
10                    0.05                 1.812 
10                    0.025                 2.228
10                    0.01                 2.764
10                    0.005                 3.169
11                    0.10             1.363 
11                    0.05                 1.796
11                    0.025                 2.201
11                    0.01                 2.718
11                    0.005                 3.106
12                    0.10             1.356
12                    0.05                 1.782
12                    0.025                 2.179
12                    0.01                 2.681
12                    0.005                 3.055
13                    0.10              1.350
13                    0.05                  1.771
13                    0.025                  2.160
13                    0.01                 2.650
13                    0.005                3.012
14                    0.10            1.345 
14                    0.05                1.761
14                   0.025               2.145
14                   0.01                2.624
14                    0.005                2.977
15                  0.10             1.341
15                  0.05                 1.753
15                  0.025                 2.131
15                   0.01                2.602
15                    0.005                2.947
16                  0.10             1.337
16                  0.05                 1.746
16                  0.025                 2.120
16                  0.01                 2.583
16                   0.005                 2.921
17                 0.10              1.333 
17                 0.05                  1.740
17                 0.025                  2.110
17                 0.01                  2.567
17                   0.005                 2.898
18                 0.10              1.330
18                 0.05                  1.734
18                 0.025                  2.101
18                 0.01                  2.552
18                  0.005                  2.878
19                 0.10              1.328
19                 0.05                  1.729
19                 0.025                  2.093
19                 0.01                  2.539
19                  0.005                  2.861
20                 0.10              1.325 
20                 0.05                  1.725
20                 0.025                  2.086
20                 0.01                  2.528
20                  0.005                  2.845
21                0.10               1.323
21                0.05                   1.721
21                0.025                   2.080
21                0.01                   2.518
21                 0.005                   2.831
22                0.10               1.321 
22                0.05                   1.717
22                0.025                   2.074
22                0.01                   2.508
22                 0.005                   2.819
23                 0.10              1.319
23                 0.05                  1.714
23                 0.025                  2.069
23                 0.01                  2.500
23                 0.005                   2.807
24               0.10                1.318
24               0.05                    1.711
24               0.025                    2.064
24               0.01                    2.492
24                 0.005                   2.797
25                0.10               1.316
25                 0.05                  1.708
25                 0.025                  2.060
25                 0.01                  2.485
25                  0.005                  2.787
26                0.10               1.315
26                 0.05                  1.706
26                 0.025                  2.056
26                 0.01                  2.479 
26                   0.005                 2.779
27                 0.10              1.314
27                 0.05                  1.703
27                 0.025                  2.052
27                 0.01                  2.473
27                  0.005                  2.771
28                 0.10              1.313
28                 0.05                  1.701
28                 0.025                  2.048
28                 0.01                  2.467 
28                  0.005                  2.763
29                 0.10              1.311
29                 0.05                  1.699
29                 0.025                  2.045
29                 0.01                  2.462
29                  0.005                  2.756


